animal_name,habitat,diet
American racer,forest,omnivore
"Legaan, ground",savanna,carnivore
"Spoonbill, white",savanna,herbivore
"Peccary, collared",forest,carnivore
Flightless cormorant,desert,carnivore
"Grenadier, purple",forest,herbivore
"Mynah, indian",desert,omnivore
Sage grouse,ocean,carnivore
Brown hyena,tundra,herbivore
"Falcon, prairie",savanna,carnivore
"Whale, baleen",forest,carnivore
"Vulture, egyptian",ocean,carnivore
Common ringtail,ocean,omnivore
Stone sheep,ocean,carnivore
Dassie,savanna,omnivore
Hottentot teal,tundra,omnivore
Red phalarope,ocean,omnivore
Rufous tree pie,ocean,herbivore
"Starling, cape",forest,herbivore
"Vulture, black",desert,omnivore
"Turaco, violet-crested",ocean,herbivore
Madagascar hawk owl,savanna,omnivore
Anaconda (unidentified),ocean,omnivore
"Eagle, tawny",tundra,omnivore
"Deer, mule",savanna,herbivore
Red-tailed wambenger,tundra,herbivore
Savannah deer (unidentified),tundra,herbivore
Egyptian vulture,desert,omnivore
"Snake, tiger",forest,carnivore
Yellow-billed hornbill,savanna,omnivore
"Gull, silver",desert,omnivore
Whip-tailed wallaby,ocean,omnivore
Scottish highland cow,tundra,carnivore
"Squirrel, golden-mantled ground",forest,omnivore
Banded mongoose,forest,carnivore
"Lion, southern sea",tundra,omnivore
"Bandicoot, short-nosed",desert,carnivore
Greater blue-eared starling,savanna,omnivore
"Squirrel, smith's bush",ocean,omnivore
"Bird, pied butcher",tundra,omnivore
Feral rock pigeon,ocean,herbivore
"Cockatoo, slender-billed",desert,carnivore
"Devil, tasmanian",forest,omnivore
"Gazelle, grant's",savanna,omnivore
Polar bear,forest,omnivore
"Trotter, lily",desert,omnivore
"Tenrec, tailless",ocean,omnivore
River wallaby,forest,carnivore
Small-clawed otter,tundra,omnivore
Crowned hawk-eagle,savanna,carnivore
"Sloth, two-toed",desert,carnivore
"Dragon, asian water",tundra,herbivore
Indian porcupine,desert,carnivore
Asian foreset tortoise,forest,herbivore
"Waterbuck, defassa",forest,omnivore
"Flamingo, greater",tundra,herbivore
Great kiskadee,ocean,herbivore
White-winged tern,ocean,carnivore
Sea birds (unidentified),desert,omnivore
Ring-tailed lemur,desert,herbivore
"Rat, arboral spiny",forest,carnivore
"Lion, galapagos sea",savanna,carnivore
Savanna baboon,tundra,omnivore
Butterfly (unidentified),tundra,herbivore
Brush-tailed bettong,ocean,herbivore
"Otter, small-clawed",tundra,omnivore
Vicuna,tundra,omnivore
White-necked raven,desert,carnivore
Suricate,desert,omnivore
"Deer, savannah",ocean,carnivore
Black-capped capuchin,tundra,omnivore
African wild cat,ocean,carnivore
"Legaan, water",desert,carnivore
Slender loris,desert,carnivore
"Squirrel, arctic ground",ocean,omnivore
"Kingfisher, malachite",forest,carnivore
Black-capped chickadee,ocean,herbivore
Banded mongoose,ocean,carnivore
"Frogmouth, tawny",forest,carnivore
King cormorant,ocean,omnivore
"Macaw, blue and yellow",desert,herbivore
White-throated toucan,forest,omnivore
Ringtail cat,forest,omnivore
Giant anteater,savanna,herbivore
Whip-tailed wallaby,savanna,carnivore
"Monitor, water",desert,omnivore
Ovenbird,desert,herbivore
"Waxbill, blue",forest,carnivore
Snake-necked turtle,ocean,carnivore
Sarus crane,savanna,herbivore
Trumpeter swan,desert,herbivore
"Hornbill, southern ground",desert,omnivore
"Rattlesnake, dusky",desert,carnivore
"Tern, white-winged",savanna,herbivore
"Deer, red",savanna,omnivore
"Swan, trumpeter",desert,herbivore
Bent-toed gecko,forest,carnivore
Currasow (unidentified),ocean,carnivore
Brush-tailed rat kangaroo,desert,herbivore
Wattled crane,desert,herbivore
"Duiker, gray",savanna,omnivore
Ferruginous hawk,desert,herbivore
"Constrictor, eastern boa",tundra,carnivore
"Jackal, indian",tundra,carnivore
Platypus,desert,omnivore
Azara's zorro,forest,herbivore
Fork-tailed drongo,ocean,omnivore
Striped dolphin,savanna,carnivore
Desert kangaroo rat,desert,omnivore
White-throated kingfisher,forest,herbivore
Praying mantis (unidentified),savanna,omnivore
"Raven, white-necked",forest,herbivore
Indian tree pie,forest,carnivore
Savanna baboon,desert,herbivore
Thirteen-lined squirrel,tundra,carnivore
Clark's nutcracker,savanna,herbivore
Collared peccary,savanna,herbivore
Sockeye salmon,forest,omnivore
Woylie,ocean,herbivore
South African hedgehog,ocean,carnivore
Blackbuck,forest,herbivore
Common nighthawk,ocean,herbivore
White-tailed jackrabbit,ocean,carnivore
Crested porcupine,tundra,herbivore
Golden brush-tailed possum,tundra,carnivore
Bush dog,savanna,carnivore
"Squirrel, grey-footed",tundra,omnivore
Blesbok,savanna,herbivore
"Antelope, four-horned",savanna,herbivore
Mallard,tundra,carnivore
Red-billed hornbill,forest,carnivore
"Capuchin, black-capped",tundra,carnivore
"Eagle, white-bellied sea",savanna,omnivore
"Rabbit, eastern cottontail",ocean,carnivore
Mexican boa,ocean,omnivore
Ovenbird,ocean,carnivore
North American river otter,savanna,herbivore
"Hornbill, red-billed",tundra,herbivore
"Vulture, oriental white-backed",desert,carnivore
Yellow-bellied marmot,desert,herbivore
"Monkey, rhesus",ocean,omnivore
"Rhinoceros, square-lipped",desert,herbivore
"Boa, emerald green tree",savanna,herbivore
American black bear,ocean,herbivore
"Squirrel, richardson's ground",tundra,herbivore
"Gecko, bent-toed",tundra,omnivore
"Squirrel, golden-mantled ground",savanna,omnivore
"Wallaby, tammar",savanna,omnivore
Turtle (unidentified),savanna,herbivore
"Sheathbill, snowy",forest,carnivore
Honey badger,desert,omnivore
Pacific gull,tundra,herbivore
"Bird, pied butcher",tundra,carnivore
"Crocodile, nile",ocean,carnivore
Western palm tanager (unidentified),tundra,herbivore
Steenbuck,forest,omnivore
"Weaver, sociable",forest,herbivore
Common zorro,savanna,carnivore
"Goose, spur-winged",forest,herbivore
Anaconda (unidentified),savanna,carnivore
Water monitor,tundra,carnivore
Red kangaroo,tundra,carnivore
Arboral spiny rat,forest,carnivore
Common grenadier,forest,omnivore
Blue waxbill,tundra,omnivore
"Toucan, white-throated",ocean,herbivore
"Bear, sloth",savanna,carnivore
Galapagos albatross,savanna,omnivore
Flightless cormorant,savanna,carnivore
"Otter, canadian river",desert,herbivore
"Egret, great",ocean,omnivore
"Armadillo, nine-banded",savanna,carnivore
"Whale, southern right",tundra,herbivore
European beaver,savanna,carnivore
Eastern boa constrictor,ocean,herbivore
"Cow, scottish highland",savanna,omnivore
"Starling, superb",savanna,carnivore
Gaur,ocean,herbivore
Roseate cockatoo,savanna,carnivore
Malabar squirrel,forest,herbivore
Galapagos albatross,desert,carnivore
Fork-tailed drongo,ocean,carnivore
"Rattlesnake, dusky",savanna,omnivore
American bighorn sheep,desert,herbivore
Western pygmy possum,tundra,herbivore
Mountain duck,forest,carnivore
White-browed owl,tundra,carnivore
"Crane, sandhill",forest,herbivore
Urial,tundra,omnivore
Eastern grey kangaroo,forest,carnivore
Brown lemur,forest,carnivore
Cape raven,desert,carnivore
Great white pelican,tundra,omnivore
"Boa, emerald green tree",forest,herbivore
Slender-billed cockatoo,ocean,herbivore
"Legaan, Monitor (unidentified)",desert,herbivore
"Possum, common brushtail",savanna,omnivore
Black-eyed bulbul,forest,carnivore
"Lion, south american sea",tundra,omnivore
Aardwolf,ocean,omnivore
"Crane, brolga",forest,herbivore
Desert tortoise,desert,herbivore
"Squirrel, arctic ground",savanna,carnivore
"Brocket, red",ocean,omnivore
Four-spotted skimmer,desert,carnivore
Painted stork,forest,herbivore
"Zebra, common",savanna,herbivore
"Sparrow, house",ocean,herbivore
Red-billed toucan,forest,omnivore
Gray duiker,savanna,herbivore
Crab-eating raccoon,tundra,omnivore
"Peccary, collared",ocean,herbivore
Gray rhea,savanna,herbivore
Indian peacock,tundra,carnivore
"Capuchin, black-capped",forest,herbivore
"Macaque, japanese",desert,herbivore
Goanna lizard,forest,omnivore
White rhinoceros,desert,carnivore
"Chickadee, black-capped",desert,omnivore
Little heron,desert,omnivore
"Dik, kirk's dik",desert,omnivore
Brown antechinus,savanna,carnivore
Greater adjutant stork,tundra,carnivore
Arctic ground squirrel,ocean,carnivore
Tokay gecko,forest,carnivore
